"str_cia_CVM","dte_refer","dt_publi"
"TEXTIL RENAUXVIEW S.A.","2011-06-30","2011-08-14"
"TEXTIL RENAUXVIEW S.A.","2011-09-30","2011-11-14"
"PBG S/A","2011-03-31","2011-05-13"
"PBG S/A","2011-06-30","2011-08-12"
"PBG S/A","2011-09-30","2011-11-10"
"WEG S.A.","2011-03-31","2011-04-27"
"WEG S.A.","2011-06-30","2011-07-22"
"WEG S.A.","2011-09-30","2011-10-26"
"TUPY S.A.","2011-03-31","2011-05-13"
"TUPY S.A.","2011-06-30","2011-08-12"
"TUPY S.A.","2011-09-30","2011-11-14"
"DOHLER S.A.","2011-03-31","2011-05-31"
"DOHLER S.A.","2011-06-30","2011-08-15"
"DOHLER S.A.","2011-09-30","2011-11-11"
"SCHULZ S.A.","2011-03-31","2011-05-12"
"SCHULZ S.A.","2011-06-30","2011-08-01"
"SCHULZ S.A.","2011-09-30","2011-11-11"
"METALURGICA RIOSULENSE S.A.","2011-03-31","2011-05-13"
"METALURGICA RIOSULENSE S.A.","2011-06-30","2011-08-15"
"METALURGICA RIOSULENSE S.A.","2011-09-30","2011-11-11"
"METISA METALURGICA TIMBOENSE S.A.","2011-03-31","2011-05-13"
"METISA METALURGICA TIMBOENSE S.A.","2011-06-30","2011-08-12"
"METISA METALURGICA TIMBOENSE S.A.","2011-09-30","2011-10-31"
"POMIFRUTAS S/A","2011-03-31","2011-06-17"
"POMIFRUTAS S/A","2011-06-30","2011-08-26"
"POMIFRUTAS S/A","2011-09-30","2011-11-14"
"JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP","2011-03-31","2011-05-18"
"JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP","2011-06-30","2011-08-15"
"JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP","2011-09-30","2011-11-14"
"FRAS-LE S.A.","2011-03-31","2011-05-09"
"FRAS-LE S.A.","2011-06-30","2011-08-04"
"FRAS-LE S.A.","2011-09-30","2011-11-03"
"MUNDIAL S.A. - PRODUTOS DE CONSUMO","2011-03-31","2011-06-28"
"MUNDIAL S.A. - PRODUTOS DE CONSUMO","2011-06-30","2011-08-17"
"MUNDIAL S.A. - PRODUTOS DE CONSUMO","2011-09-30","2011-11-14"
"MARCOPOLO S.A.","2011-03-31","2011-05-09"
"MARCOPOLO S.A.","2011-06-30","2011-08-08"
"MARCOPOLO S.A.","2011-09-30","2011-11-07"
"RANDON S.A. IMPLEMENTOS E PARTICIPACOES","2011-03-31","2011-05-09"
"RANDON S.A. IMPLEMENTOS E PARTICIPACOES","2011-06-30","2011-08-09"
"RANDON S.A. IMPLEMENTOS E PARTICIPACOES","2011-09-30","2011-11-08"
"SLC AGRICOLA S.A.","2011-03-31","2011-05-16"
"SLC AGRICOLA S.A.","2011-06-30","2011-08-10"
"SLC AGRICOLA S.A.","2011-09-30","2011-11-09"
"KLABIN S.A.","2011-03-31","2011-04-28"
"KLABIN S.A.","2011-06-30","2011-08-01"
"KLABIN S.A.","2011-09-30","2011-10-31"
"GRENDENE S.A.","2011-03-31","2011-05-05"
"GRENDENE S.A.","2011-06-30","2011-08-04"
"GRENDENE S.A.","2011-09-30","2011-11-10"
"MINUPAR PARTICIPACOES S.A.","2011-03-31","2011-10-14"
"MINUPAR PARTICIPACOES S.A.","2011-06-30","2011-10-15"
"MINUPAR PARTICIPACOES S.A.","2011-09-30","2011-11-11"
"RECRUSUL S.A.","2011-03-31","2011-05-16"
"RECRUSUL S.A.","2011-06-30","2011-08-17"
"RECRUSUL S.A.","2011-09-30","2011-11-11"
"KEPLER WEBER S.A.","2011-03-31","2011-05-12"
"KEPLER WEBER S.A.","2011-06-30","2011-08-15"
"KEPLER WEBER S.A.","2011-09-30","2011-11-10"
"GRAZZIOTIN S.A.","2011-03-31","2011-05-12"
"GRAZZIOTIN S.A.","2011-06-30","2011-08-05"
"GRAZZIOTIN S.A.","2011-09-30","2011-11-07"
"TREVISA INVESTIMENTOS S.A.","2011-03-31","2011-05-16"
"TREVISA INVESTIMENTOS S.A.","2011-06-30","2011-08-10"
"TREVISA INVESTIMENTOS S.A.","2011-09-30","2011-11-10"
"DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS","2011-03-31","2011-05-16"
"DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS","2011-06-30","2011-08-13"
"DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS","2011-09-30","2011-11-14"
"METALURGICA GERDAU S.A.","2011-03-31","2011-05-12"
"METALURGICA GERDAU S.A.","2011-06-30","2011-08-04"
